##name	DOD Joint Acronyms and Abbreviations
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Department of Defense (DOD), Joint Doctrine Division
##copyright	Source: U.S. Department of Defense, <a href="http://www.dtic.mil/doctrine/index.html">Joint Doctrine Division</a>. ( <a href="bword://About the DOD Joint Acronyms and Abbreviations">About</a> )
##description	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in \ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>. \n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p> \n<p>The <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/20, 09:33
##bgl_middleUpdated	2008/03/25, 09:22
##bgl_lastUpdated	2008/03/25, 09:22
.NL.	not less than <br>
MCB	movement control battalion <br>
MCBAT	medical chemical biological advisory team  <br>
MCC	Marine component commander; maritime component commander; master control center; military cooperation committee; military coordinating committee; mission control center; mobility control<br>
MCCC	mobile consolidated command center <br>
MCCDC	Marine Corps Combat Development Command  <br>
MCCISWG	military command, control, and information systems working group  <br>
MCD	medical crew director <br>
MCDA	military and civil defense assets (UN) <br>
MCDP	Marine Corps doctrinal publication <br>
MCDS	modular cargo delivery system <br>
MCEB	Military Communications-Electronics Board <br>
MCEWG	Military Communications-Electronics Working Group <br>
MCIA	Marine Corps Intelligence Activity <br>
MCIO	military criminal investigation organization <br>
MCIP	Marine Corps information publication; military command inspection program  <br>
MCM	Manual for Courts-Martial; military classification manual; mine countermeasures  <br>
MCMC	mine countermeasures commander <br>
MCMG	Military Committee Meteorological Group (NATO)  <br>
MCMO	medical civil-military operations <br>
MCMOPS	mine countermeasures operations <br>
MCMREP	mine countermeasure report <br>
MCO	Mapping Customer Operations; Marine Corps order <br>
MCOO	modified combined obstacle overlay <br>
MCRP	Marine Corps reference publication <br>
MCS	maneuver control system; Military Capabilities Study; mine countermeasures ship; modular causeway system <br>
MCSF	mobile cryptologic support facility <br>
MCSFB	Marine Corps security force battalion  <br>
MCT	movement control team <br>
MCTC	Midwest Counterdrug Training Center <br>
MCTFT	Multijurisdictional Counterdrug Task Force Training  <br>
MCU	maintenance communications unit <br>
MCW	modulated carrier wave <br>
MCWP	Marine Corps warfighting publication <br>
MCX	Marine Corps Exchange <br>
MDA	Magen David Adom (Israeli equivalent of the Red Cross); maritime domain awareness <br>
MDCI	multidiscipline counterintelligence  <br>
MDDOC	MAGTF deployment and distribution operations center <br>
MDF	Main Defense Forces (NATO); main distribution frame   <br>
MDITDS	migration defense intelligence threat data system; Modernized Defense Intelligence Threat Data System <br>
MDMA	methylenedioxymethamphetamine   <br>
MDR	medium data rate <br>
MDRO	mission disaster response officer <br>
MDS	Message Dissemination Subsystem; mission design series <br>
MDSS	II Marine air-ground task force (MAGTF) Deployment Support System II <br>
MDSU	mobile diving and salvage unit  <br>
MDW	Military District of Washington <br>
MDZ	maritime defense zone <br>
ME/C	medical examiner and/or coroner <br>
MEA	munitions effect assessment; munitions effectiveness assessment <br>
MEB	Marine expeditionary brigade <br>
MEBU	mission essential backup <br>
MEC	medium endurance cutter <br>
MED	manipulative electronic deception <br>
MEDAL	Mine Warfare Environmental Decision Aids Library <br>
MEDCAP	medical civic action program <br>
MEDCC	medical coordination cell <br>
MEDCOM	US Army Medical Command <br>
MEDEVAC	medical evacuation  <br>
MEDINT	medical intelligence  <br>
MEDLOG	JR medical logistics, junior (USAF)  <br>
MEDLOG	medical logistics (USAF AIS) <br>
MEDLOGCO	medical logistics company <br>
MEDMOB	Medical Mobilization Planning and Execution System <br>
MEDNEO	medical noncombatant evacuation operation <br>
MEDREG	medical regulating  <br>
MEDREGREP	medical regulating report <br>
MEDRETE	medical readiness training exercise <br>
MEDS	meteorological data system <br>
MEDSOM	medical supply, optical, and maintenance unit <br>
MEDSTAT	medical status  <br>
MEF	Marine expeditionary force <br>
MEF(FWD)	Marine expeditionary force (forward) <br>
MEFPAKA	manpower and equipment force packaging  <br>
MEL	maintenance expenditure limit; minimum equipment list <br>
MEO	medium Earth orbit; military equal opportunity <br>
MEP	mobile electric power <br>
MEPCOM	military entrance processing command <br>
MEPES	Medical Planning and Execution System  <br>
MEPRS	Military Entrance Processing and Reporting System <br>
MERCO	merchant ship reporting and control  <br>
MERINT	merchant intelligence  <br>
MERSHIPS	merchant ships  <br>
MES	medical equipment set <br>
MESAR	minimum-essential security assistance requirements <br>
MET	medium equipment transporter; mobile environmental team <br>
METAR	meteorological airfield report; meteorological aviation report <br>
METARS	routine aviation weather report (roughly translated from French; international standard code format for hourly surface weather observations)   <br>
METCON	control of meteorological information (roughly translated from French); meteorological control (Navy) <br>
METL	mission-essential task list <br>
METMF	meteorological mobile facility <br>
METMR(R)	meteorological mobile facility (replacement) <br>
METOC	meteorological and oceanographic <br>
METSAT	meteorological satellite METT-T mission, enemy, terrain and weather, troops and support available—time available METT-TC mission, enemy, terrain and weather, troops<br>
MEU	Marine expeditionary unit <br>
MEU(SOC)	Marine expeditionary unit (special operations capable) <br>
MEVA	mission essential vulnerable area <br>
MEWSG	Multi-Service Electronic Warfare Support Group (NATO) <br>
MEZ	missile engagement zone <br>
MF	medium frequency; mobile facility; multi-frequency  <br>
MFC	Meteorological and Oceanographic (METOC) Forecast Center; multinational force commander <br>
MFDS	Modular Fuel Delivery System <br>
MFE	manpower force element <br>
MFFIMS	mass fatality field information management system <br>
MFO	multinational force and observers <br>
MFP	major force program <br>
MFPC	maritime future plans center <br>
MFPF	minefield planning folder <br>
MFS	multifunction switch  <br>
MGB	medium girder bridge <br>
MGM	master group multiplexer <br>
MGRS	military grid reference system <br>
MGS	mobile ground system <br>
MGT	management   <br>
MHC	management headquarters ceiling <br>
MHE	materials handling equipment <br>
MHU	modular heat unit <br>
MHW	mean high water <br>
MHz	megahertz   <br>
MI	military intelligence; movement instructions <br>
MIA	missing in action <br>
MIAC	maritime intelligence and analysis center  <br>
MIB	Military Intelligence Board <br>
MIC	Multinational Interoperability Council <br>
MICAP	mission capable/mission capability <br>
MICON	mission concept  <br>
MICRO-MICS	micro-medical inventory control system <br>
MICRO-SNAP	micro-shipboard non-tactical automated data processing system <br>
MIDB	modernized integrated database; modernized intelligence database <br>
MIDDS-T	Meteorological and Oceanographic (METOC) Integrated Data Display System-Tactical  <br>
MIF	maritime interception force <br>
MIIDS/IDB	Military Intelligence Integrated Data System/Integrated Database <br>
MIJI	meaconing, interference, jamming, and intrusion  <br>
MIL-STD	military standard  <br>
MILALOC	military air line of communications  <br>
MILCON	military construction  <br>
MILDEC	military deception  <br>
MILDEP	Military Department  <br>
MILGP	military group (assigned to American Embassy in host nation) <br>
MILOB	military observer  <br>
MILOC	military oceanography group (NATO) <br>
MILPERS	military personnel  <br>
MILSATCOM	military satellite communications <br>
MILSPEC	military performance specification <br>
MILSTAMP	military standard transportation and movement procedures <br>
MILSTAR	military strategic and tactical relay system <br>
MILSTRAP	military standard transaction reporting and accounting procedure   <br>
MILSTRIP	military standard requisitioning and issue procedure <br>
MILTECH	military technician  <br>
MILU	multinational integrated logistic support unit  <br>
MILVAN	military van (container) <br>
MIM	maintenance instruction manual <br>
MIMP	Mobilization Information Management Plan <br>
MINEOPS	joint minelaying operations <br>
MIO	maritime interception operations <br>
MIO-9	information operations threat analysis division (DIA) <br>
MIP	Military Intelligence Program <br>
MIPE	mobile intelligence processing element <br>
MIPOE	medical intelligence preparation of the operational environment   <br>
MIPR	military interdepartmental purchase request <br>
MIS	maritime intelligence summary <br>
MISCAP	mission capability  <br>
MISREP	mission report  <br>
MISS	missing   <br>
MIST	military information support team <br>
MITASK	mission tasking  <br>
MITO	minimum interval takeoff <br>
MITT	mobile integrated tactical terminal <br>
MIUW	mobile inshore undersea warfare <br>
MIUWU	mobile inshore undersea warfare unit  <br>
MIW	mine warfare  <br>
MJCS	Joint Chiefs of Staff memorandum  <br>
MJLC	multinational joint logistic center <br>
MLA	mission load allowance <br>
MLAYREP	mine laying report <br>
MLC	Marine Logistics Command <br>
MLE	maritime law enforcement <br>
MLEA	Maritime Law Enforcement Aacademy <br>
MLI	munitions list item <br>
MLMC	medical logistics management center <br>
MLO	military liaison office <br>
MLP	message load plan <br>
MLPP	multilevel precedence and preemption <br>
MLPS	Medical Logistics Proponent Subcommittee <br>
MLRS	Multiple Launch Rocket System <br>
MLS	microwave landing system; multilevel security  <br>
MLW	mean low water <br>
MMAC	military mine action center <br>
MMC	materiel management center <br>
MMG	DOD Master Mobilization Guide <br>
MMI	man/machine interface  <br>
MMLS	mobile microwave landing system <br>
MMS	mast-mounted sight  <br>
MMT	military mail terminal <br>
MNCC	multinational coordination center <br>
MNF	multinational force  <br>
MNFACC	multinational force air component commander  <br>
MNFC	multinational force commander <br>
MNFLCC	multinational force land component commander  <br>
MNFMCC	multinational force maritime component commander  <br>
MNFSOCC	multinational force special operations component commander <br>
MNL	multinational logistics  <br>
MNLC	multinational logistic center <br>
MNP	master navigation plan <br>
MNS	mine neutralization system (USN); mission needs statement   <br>
MNTF	multinational task force <br>
MO	medical officer; month <br>
MOA	memorandum of agreement; military operating area <br>
MOADS	maneuver-oriented ammunition distribution system <br>
MOB	main operating base; main operations base; mobilization   <br>
MOBCON	mobilization control  <br>
MOBREP	military manpower mobilization and accession status report   <br>
MOC	maritime operations center <br>
MOCC	measurement and signature intelligence (MASINT) operations coordination center; mobile operations control center <br>
MOD	Minister (Ministry) of Defense <br>
MOD	T-AGOS modified tactical auxiliary general ocean surveillance   <br>
MODEM	modulator/demodulator   <br>
MODLOC	miscellaneous operational details, local operations  <br>
MOE	measure of effectiveness <br>
MOG	maximum (aircraft) on ground; movement on ground (aircraft); multinational observer group <br>
MOGAS	motor gasoline  <br>
MOLE	multichannel operational line evaluator <br>
MOM	military ordinary mail <br>
MOMAT	mobility matting  <br>
MOMSS	mode and message selection system  <br>
MOP	measure of performance; memorandum of policy <br>
MOPP	mission-oriented protective posture <br>
MOR	memorandum of record <br>
MOS	military occupational specialty <br>
MOTR	maritime operational threat response <br>
MOU	memorandum of understanding MOUT military operations in urban terrain; military operations on urbanized terrain      <br>
MOVREP	movement report  <br>
MOW	maintenance orderwire  <br>
MP	military police (Army and Marine); multinational publication   <br>
MPA	maritime patrol aircraft; mission and payload assessment; mission planning agent <br>
MPAT	military patient administration team; Multinational Planning Augmentation Team  <br>
MPC	mid-planning conference; military payment certificate; military personnel center  <br>
MPE/S	maritime pre-positioning equipment and supplies  <br>
MPF	maritime pre-positioning force <br>
MPG	maritime planning group; mensurated point graphic <br>
MPLAN	Marine Corps Mobilization Management Plan  <br>
MPM	medical planning module <br>
MPO	military post office <br>
MPR	maritime patrol and reconnaissance <br>
MPRS	multi-point refueling system <br>
MPS	maritime pre-positioning ship; message processor shelter; Military Postal Service <br>
MPSA	Military Postal Service Agency <br>
MPSRON	maritime pre-positioning ships squadron <br>
MR	milliradian; mobile reserve <br>
MRAALS	Marine remote area approach and landing system   <br>
MRAT	medical radiobiology advisory team <br>
MRCI	maximum rescue coverage intercept <br>
MRE	meal, ready to eat <br>
MRG	movement requirements generator <br>
MRI	magnetic resonance imaging <br>
MRMC	US Army Medical Research and Materiel Command   <br>
MRO	mass rescue operation; medical regulating office; medical regulating officer <br>
MROC	multicommand required operational capability <br>
MRR	minimum-risk route  <br>
MRRR	mobility requirement resource roster <br>
MRS	measurement and signature intelligence (MASINT) requirements system; meteorological radar subsystem; movement report system       <br>
MRSA	Materiel Readiness Support Agency <br>
MRT	maintenance recovery team <br>
MRU	mountain rescue unit <br>
MS	message switch  <br>
MS-DOS	Microsoft disk operating system <br>
MSC	major subordinate command; maritime support center; Military Sealift Command; military staff committee; mission support confirmation     <br>
MSCA	military support to civil authorities; military support to civilian authorities <br>
MSCD	military support to civil defense  <br>
MSCLEA	military support to civilian law enforcement agencies   <br>
MSCO	Military Sealift Command Office <br>
MSD	marginal support date; mobile security division <br>
MSDS	mission specific data set <br>
MSE	mission support element; mobile subscriber equipment; <br>
MSECR	HIS 6000 security module <br>
MSEL	master scenario events list <br>
MSF	Medicins Sans Frontieres (“Doctors Without Borders”); mission support force; mobile security force; multiplex signal format     <br>
MSG	Marine Security Guard; message <br>
MSGID	message identification  <br>
MSHARPP	mission, symbolism, history, accessibility, recognizability, population, and proximity  <br>
