##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
COMMARFORLANT	Commander, Marine Forces Atlantic
COMMARFORPAC	Commander Marine Forces Pacific
COMMCABS	Commander, Marine Corps Air Bases
Communications	Electronics
COMMZ	Communications Zone<BR><A href='http://www.periscope.ucg.com/terms/t0000090.html'> </A><BR>
COMNAB	Commander, Naval Base
COMNALC	Commander, Naval Aviation Logistics Center
COMNAVACT	Commander, Naval Activities
COMNAVAIRESFOR	Commander Naval Air Reserve Force
COMNAVAIRLANT	Commander, Naval Air Force, U.S. Atlantic Fleet
COMNAVAIRLANTINST	Commander, Naval Air Force, Atlantic Instruction
COMNAVAIRPAC	Commander, Naval Air Force, U.S. Pacific Fleet
COMNAVAIRPACINST	Commander, Naval Air Force, Pacific Instruction
COMNAVAIRSYSCOM	Commander, Naval Air System Command
COMNAVDAC	Commander, Naval Data Automation
COMNAVFACENGCOM	Commander, Naval Facilities Engineering Command
COMNAVLEXSYSCOM	Commander Naval Electronic Systems Command
COMNAVRESFOR	Commander Naval Reserve Forces
COMNAVSEASYSCOM	Commander, Naval Sea Systems Command
COMNAVSUPCOM	Commander Naval Supply Systems
COMNAVSUPSYSCOM	Commander Naval Supply Systems Command
COMNAVSURFLANT	Commander Naval Surface Forces Atlantic
COMNAVSURFPAC	Commander Naval Surface Forces Pacific
COMNAVSURFWARCENDIV	Commander Naval Surface Warfare Center Division
COMNAVTRADET	Commander, Naval Air Maintenance Training Detachment
COMNUWPNTRAGRULANT	Commander, Nuclear Weapon- Training Group, Atlantic
COMNUWPNTRAGRUPAC	Commander, Nuclear Weapons Training Group, Pacific
COMO	Combat Oriented Maintenance Organization
COMOPTEVFOR	Commander, Operational Test and Evaluation Force
COMOS	Centralization of Supply Management Operations
COMPACMISTESTCEN	Commander, Pacific Missile Test Center
COMPHIBRON	Commander, Amphibious Squadron
COMPHIEGRU	Commander, Amphibious Group
Composition A|CompositionA	Composition A is a wax-coated, granular explosive consisting of <A href='bword://RDX'>RDX</A> and plasticizing wax. Five varieties of composition A have been developed and designated as composition A-1, A-2, A-3, A-4 and A-5. Compositions A-4 and A-5, with desensitizer added, have been developed, but these explosives are not widely used. Composition A is used as the bursting charge in Navy 2.75- and 5-inch rockets and land mines. <BR>See also <A href='bword://CompositionB'>Composition B</A> and <A href='bword://CompositionC'>Composition C</A> <BR> <BR>
Composition B|CompositionB	<A href='bword://Explosive'>Explosive</A> , <BR>Composition B consists of castable mixtures of <A href='bword://RDX'>RDX</A> and <A href='bword://TNT'>TNT</A> ; in some instances, desensitizing agents are added to the mixture. Composition B is used as a burster in Army projectiles and in rockets and land mines. <BR>
Composition C|C-1|C-2|C-3|C-4|C1|C2|C3|C4|CompositionC	Composition C is a plastic demolition <A href='bword://explosive'>explosive</A> consisting of <A href='bword://RDX'>RDX</A> , other explosives, and plasticizers. It can be molded by hand for use in demolition work and packed by hand into shaped charge devices. Although compositions C-3 and C-4 are the only formulations presently being used, C-1 and C-2 may still be encountered. <BR>
COMPUSEC	Computer Security
COMSC	Commander Military Sealift Command
COMSEC	Communications Security
COMSERVGRU	Commander, Service Group
COMSERVLANT INST	Commander Service Forces Atlantic Instruction
COMSERVLOGPAC	Commander, Service Logistics, Pacific
COMSFOR	Commander of the Stabilization Forces
COMSPAWARSYSCOM	Commander Space and Naval Warfare Syscom
COMSTRIKEFORSOUTH	Commander Striking and Support Forces Southern Europe
COMSUBLANT	Commander, Submarine Forces, U.S. Atlantic Fleet
COMSUBPAC	Commander, Submarine Forces, U.S. Pacific Fleet
COMTAC	Combat Tactical
COMTRALANT	Commander, Training Command, U.S. Atlantic Fleet
COMTRAPAC	Commander, Training Command, U.S. Pacific Fleet
COMVAWC	Commander Naval Air Warfare Center
COMZ	Communications Zone
CONAG	Combined Nuclear And Gas turbine (propulsion)
CONALOG	Contact Analog
CONAR	Commanding Officer Narrative Report
CONAS	Combined Nuclear And Steam (propulsion)<BR><A href='http://www.periscope.ucg.com/terms/t0000093.html'> </A><BR>
CONC	Weapons Station Concord
CONMARFOR	Western European Union Contingency Maritime Force <BR>
CONMAROPS	Concept of Maritime Operations
CONOPS	Concept of Operations
CONPS	Concept of Operations
CONREP	Connected Replenishment
CONTINUE HOPE	United States Central Command operations in Somalia May-December 1993 in support of UNOSOM II
CONUS	Continental United States
CONVEX	Conversion Exercises
COOP	Craft Of Opportunity Program (minesweeper)<BR><A href='http://www.periscope.ucg.com/terms/t0000096.html'> </A><BR>
COOPLOG	Cooperative Logistics
COPE	Conventional Ordnance Performance Evaluation; Computer Operating and Programming Environment
COPPER	Gulf War name for 1st (United Kingdom) Armoured Division objective consisting of COPPER SOUTH (4th Armoured Brigade) and COPPER NORTH (7th Armoured Brigade)
COPS	Contractor Operated Parts Store
COR	Contracting officer Representative
Cordite N|CorditeN	Explosive, Cordite N is used as a propellant in aircraft gun ammunition. It actually contains three main explosive components. These components are nitroguanidine, nitrocellulose, and nitroglycerin. Cordite N is very cool burning, with little smoke and no flash, and has no flash, and has a higher velocity or burning rate than <A href='bword://Ballistite'>Ballistite</A> <BR>. <BR>
CORE	Centre for OSCE Research <BR> <BR>Homepage: <A href='http://www.core-hamburg.de/'>http://www.core-hamburg.de</A>/ <BR>
CORKSCREW	World War II (June 1943) conquest of the island of Pantelleria
CORONET	World War II operation (not executed) to invade the island of Honshu at the Tokyo plain
Cort	Escort
COS	Chief of Staff
COSA	Combat Operational Support Aircraft
COSAL	Consolidated/Coordinated Shipboard Allowance List
COSAN	Combined Steam And Nuclear (propulsion)
COSBAL	Coordinated Shore Based Allowance List
COSD	CAD/CAM Operation Support Detachment
COSMAL	Coordinated Shore Based Material Allowance List
COTAR	Contracting Officer's Technical Representative
COTR	Contracting Officers Technical Representative
COTS	Commercial Off-The-Shelf
COTTAGE	World War II (1943) recapture of Kiska
COUGAR	Gulf War code name for an XVIII Airborne Corps area of operations
COUNTER	Korean War plan for the 45th Infantry Division (I Corps) to capture strategic outpost sites
COURAGEOUS	Korean War (1951) operation for the advance to the Imjin River as a follow-on to <A href='bword://RIPPER'>RIPPER</A>
CP	Command Post
CPA	Closet Point of Approach
CPAF	Cost Plus Award Fee
CPAM	CNO Program Analysis Memorandum; Vehicles for Displaying the Issues, Costs, and Risks Involved in Alternate Programs
CPAR	Contractor Performance Assessment Reporting
CPB	Change Planning Board
CPC	Computer Program Components
CPCEI	Computer Program Contract End-Item
CPCI	Computer Program Configuration Items
CPDP	Computer Program Development Plan
CPE	Contractor Performance Evaluation
CPFF	Cost Plus Fixed Fee
CPG	Change Planning Group
CPI	Computer Program Identification; Change Package Identification; Characters Per Inch
CPIC	Coalition Press and Information Center
CPIF	Cost Plus Incentive Fee
CPIN	Computer Program Identification Number
CPIO	Chief Public Information Officer
CPL	Certified Professional Logistician
CPM	Critical Path Monitoring; Critical Patch Method; Cards Per Minute
CPMM	Central Processor Main Memory
CPN	Critical Path Network
CPO	Civilian Personnel Office; Chief Petty officer
CPP	Claimant Program Proposal
CPPD	Computer Program Product Document
CPR	Component Pilot Rework
CPRP	Component Pilot Repair Program
CPS	Collective Protection System (USN)
CPSU	Communist Party of the Soviet Union
CPT	Cockpit Procedures Trainer; Computer Program Tests
CPTS	CASS Portable Test Set
CPU	Central Processing Unit
CPX	Command Post Exercise
CR	Change Report
CRA	Component Pilot Rework
CRAB	Caging Retainer and Boresight; Centralized Requisitioning, Accounting and Billing, Civil Servant
CRAD	Contracted Research &amp; Development Funds
CRAF	Civil Air Reserve Air Fleet
CRAFTS	CIVIL RESERVE AUXILIARY FLEET SHIPS
CRAM	Critical Random Access Memory
CRASP	COSAL Requisitioning and State Procedures
CRAW	Carrier Replacement Air Wing
CRB	Change Review Board; Carrier Review Board
CRC	Contractor Recommended Code; Cyclic Redundancy Check
CRDP	Composite Readiness Development Plan
CRDS	Component Repair Data Sheets
CREATE	Computational Resources for Engineering and Simulation, Training, and Education
CRF	Configuration Record File; Crypts Repair Facility
CRG	Collaborative Research Grant (NATO Science Programme)
CRHE	Continuous Rod High Explosive
CRICKET	World War II code name for the Malta portion of the <A href='bword://ARGONAUT'>ARGONAUT</A> Conference
CRIMP	Cost Reduction and Improved Management Program
CRIPL	Consolidated Remain-In-Place List
CRISD	Computer Resources Integrated Support Document
CRISP	Computer Resources Integrated Support Plan
CRLCMP	Computer Resources Life Cycle Management Plan
CRMP	Computer Resources Management Plan
CRN	Contract Release Notice/Change Request Number
CROMAC	Government of Croatia Croatian Mine Action Centre <BR>After conducting an external review of the project <A href='bword://UN'>UN</A> support project in 2000, an exit strategy was developed to permit CROMAC to become a fully Croatian entity by the end of December 2001. <BR> <BR>While CROMAC has developed into a functioning Mine Action Centre and it is envisioned that the United Nations Mine Action Assistance Programme (<A href='bword://UNMAAP'>UNMAAP</A>) can be concluded as planned, it must be remembered that mine clearance operations are still in the beginning stages. At the end of 2001 more than 4000 square kilometres of potentially mine affected area will remain. Much of this area is critical to Croatia’s efforts to return to normal life. This effort will take at least until 2010 or longer, depending on available funds. <BR>
CRONOS	Crises Response Operations in Nato Open System
CROSS	Cyber Real-time Operating Sub-System Number
CROSSBOW	World War II operations by the Royal Air Force against German V-weapon experimental bases
CROSSROADS	1946 nuclear weapon test on Bikini Atoll
CROSSWORD	World War II code name for a covert operation intended to lead to the surrender of Germany (2 May 1944)
CRP	Cost Reduction Program; Component Repair Program; Community Relations Plan
CRS	Congressional Research Service
CRT	Cathode Ray Tube
CRU	Custody Records Unit
Crusader	A new self-propelled howitzer and resupply vehicle
CRUSH	Gulf War code name for an XVIII Airborne Corps phase line
CRWG	Computer Resources Working Group
CRYPTO	Cryptographic
CS	Controlled Space; Control System; Competitive Strategies; Conducted Susceptibility; Control Section
CSA	Configuration Status Accounting; Continuous Semi-Active; Contract Services Association, Countermeasures Set, Acoustic
CSAM	Combat System Alignment Manual
CSAR	Combat Search And Rescue (SAR)
CSAS	Configuration Status Accounting System
CSBM	Confidence and Security Building Measure
CSC	Computer Software Component; Conventional Systems Committee; Card Sequence Code; Computer Sciences Corp
CSCE	Conference on Security and Co-op in Europe (now OSCE)
CSCI	Computer Software Configuration Item
CSCOM	Computer System Operators Manual
CSD	Critical Support Date; Computer Software Documentation; Check Sums Digits
CSDM	Computer System Diagnostic Manual
CSDT	Control for Submarine Discharge Topedo
CSE	Common Support Equipment
CSE (FSD)|CSE	Common Support Equipment Floor Space for Discard
CSE (FSI)|CSE	Common Support Equipment Floor Space for "I" Repair
CSE (FSR)|CSE	Common Support Equipment Floor Space for I'D" Repair
CSEL	Consolidated Support Equipment List
CSF	Configuration Summary Form
CSFL	Commander Striking Fleet Atlantic
CSI	Container Sentencing/Inspection; Contractor Source Inspection
CSIS	Center for Strategic and International Studies
CSL	Component Save List
CSLT	Control for Surface-launched Torpedo
CSLTS	Coolant System Leak Test Section
CSMP	Current Ships Maintenance Project
CSNAS	Computer Supported Network Automatic System
CSNP	Causeway Section Non-Powered
CSOC	Consolidated Space Operations Center
CSP	Contingency Support Package; Causeway Section, Powered
CSPAR	CINC's Preparedness Assessment Report
CSR	Control and Status Register; Change Status Report
CSRDF	Crew Station Research and Development Facility
CSRG	Combat Support Requirement Guidance
CSS	Computer Special Systems
CSSA	Central Supply Support Activity
CSSCS	Combat Service Support Control System
CSSE	Combat Service Support Element
CSSQT	Combat Systems Ships Qualification Trials
CST	Conventional Stability Talks
CSTOM	Combat System Technical Operations Manual
CSTS	Control Section Test Set
CSU	Control Selection Unit
CSW	Centre for Social Work (Kosovo)
CT	Counterterrorism
CTA	Common Table of Allowance
CTAS	Control Target Auxiliary System
CTB	Comprehensive Test Ban
CTBT	Comprehensive Test-Ban Treaty
CTDO	Central Technical Documentation Office
CTE	Commercial Test Equipment; Contractor Test and Evaluation
CTF	Commander Task Force
CTG	Commander Task Group
CTIC	Contractor Technical Information Code
CTIS	Central Tire Inflation System
CTN	CALS Test Network
CTNO	CALS Test Network Office
CTOL	Conventional Take-Off and Landing
CTPL	Central Technical Publications Library
CTS	Contractor Technical Services; Control Test Sets Course Training Standards; Contact Test Set; Cooperative Tracking System
CTSEL	Consolidated Training Support Equipment List
CTT	Chief of Naval Technical Training
CTU	Commander Task Unit<BR><A href='http://www.periscope.ucg.com/terms/t0000099.html'> </A><BR>
CTV	Certification Training Vehicle
CUDGEL	Korean War plan for an advance from the WYOMING line in the I and IX Corps sectors
