##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
Galette|Galettes|puff paste|puffpaste	מעין מאפה (קיימת גרסה מלוחה ומתוקה)
Galliano	גליאנו (משקה חריף)<BR>ליקר זהוב על בסיס אניס וליקוריש
Gallon	גלון, מידת נפח (לרב של נוזלים), שווה ערך ל- 3.78 ליטר
Gambia	גמביה (ירק מאכל)
Ganache|Genache|ganash|genash|gnash	גאנאש - השם הכללי למליות לפרלינים, קרי שם כולל לקרם משובח המורכב משוקולד מריר ושמנת מתוקה, ולעיתים גם חמאה<BR>
Garam Masala|GaramMasala	תערובת תבלינים הודית שלרב מכילה כמון, ציפורן, קינמון, פלפל שחור וכוסברה
Garbanzo|garbanzo	גרעיני חומוס
Garbure|garbure	מרק ירקות ו\\או בשר כה סמיך עד שלעיתים נראה כתבשיל.
Garden Rocket|Eruca vesicaria|GardenRocket|Rashad|Rashed	ראשד, רשד, גרגיר, בן חרדל השלפוחיות (עשב מאכל)
Garfish	חרטומן הים (דג מאכל טורף בעל חוטם ארוך)
Garlic	שום (ירק תבלין המגיע בצורת שיני-שום (טבעי), כתוש, אבקה)
Garlic crusher|Garliccrusher|crusher	כלי ייחודי למעיכת שיני שום בודדות
Garnaches|Garnache	טורטיית תירס מטוגנת (בליז)
Garnish	עיטור (של אוכל)<BR>(פ') לקשט, לעטר (אוכל)
Gastronomical	גסטרונומי, קשור לבישול
Gateau	עוגה (מצרפתית)
Gateau Saint-Honore|Saint Honore|Saint-Honore|SaintHonore	גטו סנטאונורה - עוגה צרפתית מסורתית המורכבת מבסיס של בצק פירורים (pate brisee) עליו טבעת פחזניות טבולות בקרמל המדביק אותן יחדיו ובמרכז קרם סנטאונורה (קרם פטיסייר בשילוב קצף ביצים או קצפת)
Gather|gathered|gathering	(פ') לאסוף יחדיו, לקבץ, ללקט
Gazpacho|Gaspacho|gazpacho	גספצ'ו - מרק עגבניות ספרדי קר
Gelatin|Gelatine|jelatin|â'ìèéï	ג'לטין
Gelato	גלידה איטלקית על בסיס חלב או קצף ביצים - מאופיינת בטקסטורה עשירה וטעמים חזקים
Gemelli	גמלי - זוג רצועות פסטה כרוכות זו סביב זו
Genevoise sauce|genevoise|genevoise sauce|genevoisesauce	רוטב ג'נו-ווז :רוטב קלאסי לדגים המכיל יין אדום, רוטב חום, ערובת ירקות קצוצים דק ומטוגנים בתבלינים וציר דגים. לאחר בישול התערובת עד לאידוי הנוזל מוסיפים ממרח אנשובי, חמאה ופטריות קצוצות.
Genoise	ג'נואז - עוגת ספוג איטלקית קלילה, רכה יותר (בשל תוספת חמאה) ומתוקה פחות מעוגת ספוג מסורתית
Ghaame	מנה לבנונית - מעטפת הקיבה (קישקה) ממולאת באורז וגרגרי חומוס
Gharithes Vrastes|GharithesVrastes	מתאבן יווני = שרימפ מורתח
Gherkins|gherkin|gherkins	בייבי מלפפון, מתאים להחמצה (שימורים)
Gin|Gyn	ג'ין (משקה חריף)<BR>משקה חסר צבע משיפון וגרגרי ערער<BR>\nמופק מאלכוהול טהור בתוספת דגן מתובל בגרגרי צמח הרותם (juniper berries) אין צחורך להבשיל או לבגר אותו, ניתן לשתות אותו מיד עם תום זיקוקו.
Ginger	זנגביל, ג'ינג'ר (שורש תבלין)
Gingerbread|gingerbread	עוגת\\עוגיית זנגביל ומולסה
Gingersnap	עוגיית זנגביל
Ginseng	ג'ינסנג (שורש תבלין)
Glace|glaces|glase	מסוכר<BR>(פ') לצפות בסוכר, לסכר\nמצרפתית : קרח, קפוא
Glasses|Glass	כוס, זכוכית
Glayva	ליקר סקוטי על בסיס ויסקי, דבש ותערובת צמחי תבלין
Glaze|glaze	זיגוג, ציפוי (של עוגות)<BR>(פ') לזגג, לצפות בקרח או סוכר, להפוך לחלק ונוצץ, לצפות בגלזורת קרמיקה\\חרס<BR>
Glazed|glazed	מזוגג
Glazeglaze	
Glove|glove|gloves	כפפה
Gluten	גלוטן - תערובת פרוטאינים הנוכחת בקמחים וגרגרי תבואה.<BR>לזק - יסוד הדבק בעמילן<BR>דבקית - חומר דבקי המצוי בחיטה
Glutinous|glutinous	דביק, צמיג
Gnocchi|gnocco|ðéå÷é	ניוקי, "כופתה איטלקית"<BR>פסטה העשויה מתפוחי אדמה ומעוצבת ככדורים אובליים קטנים.
Goat|Goats	עז, תיש
Gobhi Ka Paratha|GobhiKaParatha|Paratha	גובי קה פרט'ה - לחם הודי מחיטה מלאה ממולא בכרובית ומטוגן
Gohan|gohan	גוהאן - אורז לבן יני מאודה אשר עבר תהליך ממושך טרם בישולו של שטיפה והשריה להסרת העמילן עד כמה שאפשר, מה שמפחית את דביקותו לאחר בישול.
goose|geese	אווז
lox	לקס - סלמון מעושן, אלתית מעושנת
Gooseberries|Gooseberry	סוג של גרגרים ממשפחת התותים (נראים כדובדבנים)
Gorgonzola	גורגונזולה - גבינת רוקפור איטלקית
Gorgonzola dolce|Dolcelatte|Dolcelatte cheese|Gorgonzoladolce	גבינה עם עובש רכה ועדינה
Gouda	גאודה - גבינה הולנדית צהובה קשה
Goulash|Goolash|Gulasch|Gulyas|Gulyasleves|Gulyás|gulash	גולש - מאכל הונגרי<BR>נזיד בשר מתובל עם תפו"א וירקות (ישנה גם גרסת מרק המכונה<B> gulyasleves</B> )
Gourd|gourd	דלעת וגם כלי העשוי מקליפתה של הדלעת
Gourmandise cheese	גבינה רכה ושמנתית שתובלה במיץ דובדבנים
Gourmet|goorme|goormet|gurme|gurmet	גורמה, לאניני טעם, למביני דבר בתחום המזון<BR>וגם כינוי למומחה למזון ומשקאות (אנין טעם)
curasao|curassao	משקה חריף על בסיס קליפות תפוז
Grain|grains	גרעין, דגן, תבואה<BR>(פ') לפורר לגרגרים
Grains of Paradise|GrainsofParadise|Grani de Meleguetta|Paradise	"גרגרי גן-עדן" (גרגרי תבלין)<BR>
Grand Marnier|Grand Marniere|GrandMarnier	גרנד מרנייה (משקה חריף)<BR>"קוראסאו צרפתי" - ליקר על בסיס תמציות הברגמוט (תפוז מריר), תפוזים וברנדי.<BR>שימוש נפוץ במזון : בוזקים אותו על קרפים צרפתיים
Granita	גרניטה - מעין משקה שרבט, ברד
Granulated|granulate|granulated	מגורען (מזון כמו סוכר או קפה), מפורר לגרגרים, מחוספס<BR>(פ') לפורר\\להתפורר לגרגרים, לחספס
Granules|granule|granules	גרגר קטן, חלקיקים
Grapefruit|Grapefruits	אשכולית (פרי הדר)
Grapes|Grape	ענבים (פרי)
Grapevine|grape vine|grapevine	גפן (צמח מטפס שאת אשכולות פירותיו, ענבים, אוכלים)
Grapevine Leaves|Grapevine leaf|GrapevineLeaves	עלי גפן
Grated|Grate|grating	מגורר בפומפיה, מפורר<BR>(פ') לגרר, לגרד, לפורר
Grater	פומפיה, מגררת
Gratin|gratin	גרטן = מוקרם, מצופה בקרום קשה
Gravy|gravy	רוטב סמיך, לרב עשוי מבשר
Grease-Proof Paper|Grease Proof|Grease-Proof|GreaseProof|GreaseProof Paper	נייר פרגמנט
Green beans|green bean|green beans|greenbeans|wax bean	שעועית ירוקה
Green bell pepper|green bell|green bell pepper|greenbellpepper	סוג של פלפל ירוק
Green lentils|green lentils|greenlentils	עדשים ירוקות
Green onion|green onion|green onions|greenonion|greenonions	בצל ירוק
Green pepper|green pepper|greenpepper	פלפל ירוק (ירק מאכל)
Grenadine|grenadine	ליקר או סירופ רימונים
Grey Mullet|GREY MULLET|GREYMULLET|MULLET	בורי, קיפון (דג מאכל הגדל בים התיכון)
Griddle|griddle	מחבת לטיגון ואפייה
Griffe|GRIFFE	פילה מדומה, "פאלש פילה"<BR>חלקי הבקר שמעל הרגליים הקדמיות.<BR>בשר קשה המתאים לבישול איטי וממושך בקדירה (למשל חמין)<BR>
Grilled|A la Broche|A'la Broche|Griled|Grill|a la broch|griling|grilling	צלוי<BR>(פ') לצלות\nהבשר מונח על שיפוד או בגריל כשאש חיה מעליו, מאחוריו או מתחתיו.\nבצרפתית : A'la Broche
Grind|grinding	(פ') לטחון, להשחיז
Grits|grit|grits	גריסים (גרגרי שיבולת שועל)
agneau	טלה (מצרפתית)
blanquette	הזיד לבן
aspic	קריש, מקפא - ג'לי (מבחינת מרקם) ממיצי פרי או בשרים שהוסמך עם גילטין
Ground	טחון, כתוש
Groundnut|groundnut	אגוז אדמה
Grouper|grouper	דקר (סוג של דג מאכל)
Grouper Bass|GrouperBass	דקר, לוקוס (דג מאכל)
Grouse|grouse	שכווי, תרנגול-בר
Gruel|gruel	דייסת דגנים חמה ודלילה משיבולת שועל וחלב או מים.
Grunion|grunion	דג מאכל קטנטן המצוי בחופי דרום קליפורניה
Grunt|grunt|slump	1. דג מאכל בשרני ומתקתק המצוי בחופי פלורידה<BR>2. קינוח עתיק יומין של תבשיל פירות המכוסים בבצק ביסקוויט - מכונה גם "סלאמפ"
Gruyère|Gruyere	גרוייר - גבינת חלב פרות קשה, שמקורה בשוויץ
Guacamole|guacamole	גואקמולי - ממרח אבוקדו מקסיקני
Guajillo	פלפל צ'ילי אדום כהה מיובש (עורו עבה) - מאוד חריף.
Guanciale|guanciale	בשר לחי של חזיר משומר\\מיובש בתוספת מלח ופלפל
Guava|Guavas|Guyava|Guyavas|âåéàáä|âåéàáåú	גויאבה (פרי)
Guero|Gero	שם גנרי לפלפל צ'ילי צהוב
Gumbo|gambo	נזיד\\מרק עשיר מבמיה\\גמביה ובשר או פירות ים
Gyro|Gyros	ג'יירו - לאפה עם בשר כבש צלוי ורוטב יוגורט (יוון)
Habanero|Habaneros	פלפל צ'ילי כתום - חריף מאוד
Hache|HACHE	האשה - קיצוץ ירק (לרב מדובר בבצל\\עשבי תיבול, מצרפתית)<BR>
Haddock|haddock	חמור-ים, דג מאכל ממשפחת הבקלה.
Haggis|haggis	תבשיל סקוטי תערובת לבבות וכבדי כבשים עם קמח שיבולת שועל המבושלים עטופים בקיבת החיה.
Hake|HAKE	בקלה, זאב הים (דג מאכל)
Half-and-half cream|half & half|half and half|half&half|half&half cream|half-and-half|half-and-halfcream	חלב עשיר (חצי שמנת וחצי חלב), בישראל מוכרים זאת כחלב עשיר לקפה
Halibut|haliboot	האליבוט, דג מאכל בעל בשר לבן, דל שומן וקשה וטעם עדין
Hallacas|hallaca	הורסיה הדרום-אמריקאית לטאמאלה המקסיקני (מקורה בוונצואלה וקולומביה) : תערובת בשר טחון (בקר/ חזיר/ עוף) גבינה, זיתים או צימוקים במעטפת בצק תירס, אותה עוטפים בעלה בננה ומרתיחים
Halvah|challva|challvah|chalva|chalvah|hallva|hallvah|halva|çìáä	חלבה
Halved|Half|Halfed	חצוי, מחולק לחצי
Ham|HAMm|jambon	נקניק חזיר (ירך מעושן), שינקן
Handkaese Cheese|hand cheese|handk?se cheese	"גבינת ידיים" (מגרמנית) - גבינה אשר גושיה "מעוצבים" ידנית. גבינה זו מופקת מחלב פרות רזה וחמוץ ולכן גם ריחה הינו על גבול הבתי נסבל וטעמה מאוד מוכרז ! קליפתה אפרפרה והפנים רך ובז'י
Hangtown Fry|Hangtown|HangtownFry	צדפות מצופות פירורים מטוגנות לצד ביצים ובייקון
Hara Pulao|HaraPulao	תבשיל אורז הודי עם עלי כוסברה ותבלינים
Harvard Beets|Harvard beet	פלחי סלק מבושלים ברוטב חמוץ מתוק מעובה המורכב מחומץ, מים, חמאה, סוכר ועמילן. מוגש חם כתוספת
Harvest|harvested|harvesting|harvests	אסיף, קציר<BR>(פ') לקצור, לאסוף (תבואה)
Harvey Wallbanger	קוקטייל אלכוהולי מתוק מוודקה, מיץ תפוזים וגליאנו (ליקר אניס)
Hash browns|hash brown|hash browns|hashbrowns	מאכל מפרוסות\\חתיכות תפוחי אדמה מתובלות ומטוגנות עד להשחמה
Hatcho miso|Hatchomiso	ממרח מפולי סויה בלבד, בטעם פיקנטי ומלוח בעל טקסטורה סמיכה וגרעינית וצבע כהה ועכור.
Haute Cuisine|HauteCuisine	מסעדות\\מטבח עילית (מצרפתית)
Havarti Cheese|Havarti	גבינה חורים דנית המזכירה את הטילסיט, גבינה חצי רכה צהבהבה
Hawaiian blue prawn	את שמו קיבל חסילון זה בזכות זנבו הכחול. בשרו העשיר מתקתק ועסיסי
Hazelnut|Hazel nut|Hazelnuts	אגוזי לוז, אילסרים<BR>עשירים בחלבון, חלבונים מורכבים, סיבים תזונתיים, ברזל, סידן,אשלגן, מגנזיום, זרחן וויטמין E. <BR>רמת סובר ונתרן נמוכה. 80 אחוזים מהשומנים שבהם הם בלתי רוויים.
Hearts|Heart	לב, לבבות
Hearts of Palm|Heart of Palm|Hearts-of-Palm|HeartsofPalm|palm	לבבות דקל (זמינים בקופסאות שימורים)
Heat	(פ') לחמם
Heather|heather	אברש (צמח בעל פרחים סגולים)
Heatproof	עמיד בפני חום
Heavy cream|heavy cream|heavycream	שמנת (30% - 15%)
Heavy whipping cream|Whippingcream|heavy whipping cream|heavywhippingcream|whipping cream	שמנת מתוקה
Helene|H?l?ne	
Hen|Hens|Rock Cornish game hen|Rock Cornish hen	נקבת העוף, תרנגולת
Herbal|herbal	של עשבי תבלין
game	(בשר) צייד
cured|cure	משומר, מיובש (בשר)\n(פ') לשמר מזון
Herbs|Herb	עשבי\\צמחי תבלין ומרפא
Herbs de Provence|HerbsdeProvence|Provence	קומבינציית עשבי תבלין וגרגרי שומר מדיטרנית<BR>מאפיין הייחודי : לבנדר
Herbsaint	ליקר מניו אורלינס בטעם אניס
Herkimer cheese|Herkimer	זוג מפורסם של גבינת צ'דר המופק במחוז הרקימר בניו יורק
Hero|Heroes|hero sandwich|hoagie|submarine|submarine sandwich	הירו/סאבמארין כינוי לסנדביץ' בלחמניה רכה ארוכה וצרה מלאה כל טוב.
Herring|Hering|herring|rollmops|äøéðâ	מליח, "דג מלוח" (דג מאכל)
Herve cheese|Herv?|Herv? cheese|Herve	גבינה רכה 'מסריחה' בלגית מחלב בקר
Hickory|hikory|÷øéä	קריה, אגוז אמריקאי
Hiss|his	שריקה<BR>(פ') לשרוק
Hoisin Sauce|Hoisin|HoisinSauce	רוטב פלפלים וסויה סיני
Homard	לובסטר (צרפתית)
Home Fries|cottage-fried potatoes|home-fried potatoes	פלחי תפו"א (מבושלים או טריים) מטוגנים עם בצל ופלפל ירוק קצוץ
Homemade|home made|homemade	תוצרת-בית
Hominy|hominy	גרעיני תירס קלופים מיובשים
